,mnemonics,label
746,CIMR,MEDIUM RESISTIVITY
747,CIPM,MEDIUM RESISTIVITY
748,RMLL,MEDIUM RESISTIVITY
749,AF10,SHALLOW RESISTIVITY
750,AF20,SHALLOW RESISTIVITY
751,AFRX,SHALLOW RESISTIVITY
752,AHF10,SHALLOW RESISTIVITY
753,AHF20,SHALLOW RESISTIVITY
754,AHO10,SHALLOW RESISTIVITY
755,AHO20,SHALLOW RESISTIVITY
756,AHSFI,SHALLOW RESISTIVITY
757,AHT10,SHALLOW RESISTIVITY
758,AHT20,SHALLOW RESISTIVITY
759,AHTRX,SHALLOW RESISTIVITY
760,AIT10,SHALLOW RESISTIVITY
761,AIT20,SHALLOW RESISTIVITY
762,AO10,SHALLOW RESISTIVITY
763,AO20,SHALLOW RESISTIVITY
764,AORX,SHALLOW RESISTIVITY
765,ASF10,SHALLOW RESISTIVITY
766,ASF20,SHALLOW RESISTIVITY
767,ASFI,SHALLOW RESISTIVITY
768,ASFL,SHALLOW RESISTIVITY
769,ASN,SHALLOW RESISTIVITY
770,ASO10,SHALLOW RESISTIVITY
771,ASO20,SHALLOW RESISTIVITY
772,AST10,SHALLOW RESISTIVITY
773,AST20,SHALLOW RESISTIVITY
774,AT10,SHALLOW RESISTIVITY
775,AT12,SHALLOW RESISTIVITY
776,AT20,SHALLOW RESISTIVITY
777,ATRX,SHALLOW RESISTIVITY
778,FE1,SHALLOW RESISTIVITY
779,FEFE,SHALLOW RESISTIVITY
780,FR,SHALLOW RESISTIVITY
781,FRA,SHALLOW RESISTIVITY
782,HRL1,SHALLOW RESISTIVITY
783,HRL2,SHALLOW RESISTIVITY
784,HRLS,SHALLOW RESISTIVITY
785,HSFLU,SHALLOW RESISTIVITY
786,ILS,SHALLOW RESISTIVITY
787,LL8,SHALLOW RESISTIVITY
788,LLA,SHALLOW RESISTIVITY
789,M0R1,SHALLOW RESISTIVITY
790,M0R2,SHALLOW RESISTIVITY
791,M1R1,SHALLOW RESISTIVITY
792,M1R2,SHALLOW RESISTIVITY
793,M2R1,SHALLOW RESISTIVITY
794,M2R2,SHALLOW RESISTIVITY
795,M4R1,SHALLOW RESISTIVITY
796,M4R2,SHALLOW RESISTIVITY
797,MFR,SHALLOW RESISTIVITY
798,MLL,SHALLOW RESISTIVITY
799,MSFL,SHALLOW RESISTIVITY
800,PSHG,SHALLOW RESISTIVITY
801,RES,SHALLOW RESISTIVITY
802,RESS,SHALLOW RESISTIVITY
803,RILS,SHALLOW RESISTIVITY
804,RLL1,SHALLOW RESISTIVITY
805,RLL2,SHALLOW RESISTIVITY
806,RS,SHALLOW RESISTIVITY
807,RSFE,SHALLOW RESISTIVITY
808,RSFL,SHALLOW RESISTIVITY
809,RSG,SHALLOW RESISTIVITY
810,RXO,SHALLOW RESISTIVITY
811,RXO_HRLT,SHALLOW RESISTIVITY
812,RXO1D,SHALLOW RESISTIVITY
813,RXO8,SHALLOW RESISTIVITY
814,RXOI,SHALLOW RESISTIVITY
815,RXOZ,SHALLOW RESISTIVITY
816,SFBC,SHALLOW RESISTIVITY
817,SFL,SHALLOW RESISTIVITY
818,SFL4,SHALLOW RESISTIVITY
819,SFLA,SHALLOW RESISTIVITY
820,SFLR,SHALLOW RESISTIVITY
821,SFLU,SHALLOW RESISTIVITY
822,SN,SHALLOW RESISTIVITY
823,AE20,SHALLOW RESISTIVITY
824,AE30,SHALLOW RESISTIVITY
825,AHF1,SHALLOW RESISTIVITY
826,AHF2,SHALLOW RESISTIVITY
827,AHO1,SHALLOW RESISTIVITY
828,AHO2,SHALLOW RESISTIVITY
829,AHT1,SHALLOW RESISTIVITY
830,AHT2,SHALLOW RESISTIVITY
831,AS10,SHALLOW RESISTIVITY
832,AS20,SHALLOW RESISTIVITY
833,ASF1,SHALLOW RESISTIVITY
834,ASF2,SHALLOW RESISTIVITY
835,ASRX,SHALLOW RESISTIVITY
836,AST1,SHALLOW RESISTIVITY
837,AST2,SHALLOW RESISTIVITY
838,HAT1,SHALLOW RESISTIVITY
839,HAT2,SHALLOW RESISTIVITY
840,HSFL,SHALLOW RESISTIVITY
841,MSFF,SHALLOW RESISTIVITY
842,RXOH,SHALLOW RESISTIVITY
843,CSFL,SHALLOW RESISTIVITY
844,MCON,SHALLOW RESISTIVITY
845,HSP,SPONTANEOUS POTENTIAL
846,PCH1,SPONTANEOUS POTENTIAL
847,SP,SPONTANEOUS POTENTIAL
848,SPBR,SPONTANEOUS POTENTIAL
849,SPC,SPONTANEOUS POTENTIAL
850,SPCG,SPONTANEOUS POTENTIAL
851,SPD,SPONTANEOUS POTENTIAL
852,SPDF,SPONTANEOUS POTENTIAL
853,SPDH,SPONTANEOUS POTENTIAL
854,SPH,SPONTANEOUS POTENTIAL
855,SPP,SPONTANEOUS POTENTIAL
856,SPSB,SPONTANEOUS POTENTIAL
857,SSPK,SPONTANEOUS POTENTIAL
858,SPS,SPONTANEOUS POTENTIAL
859,AHSC,SPONTANEOUS POTENTIAL
860,AHSF,SPONTANEOUS POTENTIAL
861,SPA_,SPONTANEOUS POTENTIAL
862,SP_S,SPONTANEOUS POTENTIAL
863,C1,CALIPER
864,C2,CALIPER
865,CAL,CALIPER
866,CAL1,CALIPER
867,CAL2,CALIPER
868,CAL3,CALIPER
869,CALA,CALIPER
870,CALE,CALIPER
871,CALI,CALIPER
872,CALI_SPCS,CALIPER
873,CALM,CALIPER
874,CALS,CALIPER
875,CALT,CALIPER
876,CALX,CALIPER
877,DCAL,CALIPER
878,HCAL,CALIPER
879,HD,CALIPER
880,HD1,CALIPER
881,HD2,CALIPER
882,HD3,CALIPER
883,HDAR,CALIPER
884,HDIA,CALIPER
885,HDMI,CALIPER
886,HDMX,CALIPER
887,HLCA,CALIPER
888,LCAL,CALIPER
889,MCAL,CALIPER
890,SA,CALIPER
891,C3,CALIPER
892,DRH,DENSITY CORRECTION
893,DRHO,DENSITY CORRECTION
894,HBDC,DENSITY CORRECTION
895,HDRA,DENSITY CORRECTION
896,HDRH,DENSITY CORRECTION
897,DT,SONIC TRAVEL TIME
898,DT4P,SONIC TRAVEL TIME
899,DT5,SONIC TRAVEL TIME
900,DTC,SONIC TRAVEL TIME
901,DTCO,SONIC TRAVEL TIME
902,DTL,SONIC TRAVEL TIME
903,DTLF,SONIC TRAVEL TIME
904,DTMX,SONIC TRAVEL TIME
905,DTP,SONIC TRAVEL TIME
906,DTSC,SONIC TRAVEL TIME
907,AC1,SONIC TRAVEL TIME
908,DT4S,SHEAR SONIC
909,SPHI,SONIC POROSITY
910,TPHI,SONIC POROSITY
911,CGR,GAMMA RAY
912,ECGR,GAMMA RAY
913,EHGR,GAMMA RAY
914,G,GAMMA RAY
915,GR,GAMMA RAY
916,GR,GAMMA RAY
917,GR_ARC_FILT,GAMMA RAY
918,GR_STGC,GAMMA RAY
919,GR1,GAMMA RAY
920,GR2,GAMMA RAY
921,GRC,GAMMA RAY
922,GRCO,GAMMA RAY
923,GRDE,GAMMA RAY
924,GRML,GAMMA RAY
925,GRN,GAMMA RAY
926,GRP,GAMMA RAY
927,GRR,GAMMA RAY
928,HCGR,GAMMA RAY
929,HGR,GAMMA RAY
930,HGR_STGC,GAMMA RAY
931,HSGR,GAMMA RAY
932,MGR,GAMMA RAY
933,P01LGR,GAMMA RAY
934,P02LGR,GAMMA RAY
935,P03LGR,GAMMA RAY
936,RGR,GAMMA RAY
937,SGR,GAMMA RAY
938,GRM1,GAMMA RAY
939,POTA,SPECTRAL GAMMA RAY
940,HPOT,SPECTRAL GAMMA RAY
941,TH,SPECTRAL GAMMA RAY
942,HTHO,SPECTRAL GAMMA RAY
943,THOR,SPECTRAL GAMMA RAY
944,HURA,SPECTRAL GAMMA RAY
945,U,SPECTRAL GAMMA RAY
946,URAN,SPECTRAL GAMMA RAY
947,UZ,SPECTRAL GAMMA RAY
948,APSC,DENSITY POROSITY
949,DNPH,DENSITY POROSITY
950,DPH8,DENSITY POROSITY
951,DPHI,DENSITY POROSITY
952,DPHI_SAN,DENSITY POROSITY
953,DPHI_SLDT,DENSITY POROSITY
954,DPHI_SLDT_HR,DENSITY POROSITY
955,DPHZ,DENSITY POROSITY
956,DPO,DENSITY POROSITY
957,DPOR,DENSITY POROSITY
958,DPSS,DENSITY POROSITY
959,HDPH,DENSITY POROSITY
960,HDPH_SAN,DENSITY POROSITY
961,HDPO,DENSITY POROSITY
962,HFSC,DENSITY POROSITY
963,NDPH,DENSITY POROSITY
964,PDS,DENSITY POROSITY
965,PXND,DENSITY POROSITY
966,DEN,DENSITY POROSITY
967,DENB,DENSITY POROSITY
968,HNDP,DENSITY POROSITY
969,HRHO,BULK DENSITY
970,HROM,BULK DENSITY
971,NRHB,BULK DENSITY
972,NRHO,BULK DENSITY
973,RHO8,DENSITY POROSITY
974,RHOB,BULK DENSITY
975,RHOB_SLDT,BULK DENSITY
976,RHOI,DENSITY POROSITY
977,RHOM,BULK DENSITY
978,RHOS,BULK DENSITY
979,RHOZ,DENSITY POROSITY
980,RHL,BULK DENSITY
981,RHS3,BULK DENSITY
982,RHS4,BULK DENSITY
983,DPHI_DOL,DENSITY POROSITY
984,DPHI_LIM,DENSITY POROSITY
985,DPHL,DENSITY POROSITY
986,DPLS,DENSITY POROSITY
987,HDPH_DOL,DENSITY POROSITY
988,HDPH_LIM,DENSITY POROSITY
989,HFLC,DENSITY POROSITY
990,PDD,DENSITY POROSITY
991,PDL,DENSITY POROSITY
992,CNC,NEUTRON POROSITY
993,FPSC,NEUTRON POROSITY
994,HASC,NEUTRON POROSITY
995,HNPO,NEUTRON POROSITY
996,HNPO_SAN,NEUTRON POROSITY
997,HTNP,NEUTRON POROSITY
998,HTNP_SAN,NEUTRON POROSITY
999,NCNL,NEUTRON POROSITY
1000,NPHI,NEUTRON POROSITY
1001,NPHI_SAN,NEUTRON POROSITY
1002,NPOR,NEUTRON POROSITY
1003,NPOR_SAN,NEUTRON POROSITY
1004,PRON,NEUTRON POROSITY
1005,SNP,NEUTRON POROSITY
1006,TNPH,NEUTRON POROSITY
1007,TNPH_SAN,NEUTRON POROSITY
1008,ENPH,NEUTRON POROSITY
1009,APDC,NEUTRON POROSITY
1010,APLC,NEUTRON POROSITY
1011,APLU,NEUTRON POROSITY
1012,FPLC,NEUTRON POROSITY
1013,FPMC,NEUTRON POROSITY
1014,HADC,NEUTRON POROSITY
1015,HALC,NEUTRON POROSITY
1016,HNPO_DOL,NEUTRON POROSITY
1017,HNPO_LIM,NEUTRON POROSITY
1018,HTNP_DOL,NEUTRON POROSITY
1019,HTNP_LIM,NEUTRON POROSITY
1020,NPHI_DOL,NEUTRON POROSITY
1021,NPHI_LIM,NEUTRON POROSITY
1022,NPOR_DOL,NEUTRON POROSITY
1023,NPOR_LIM,NEUTRON POROSITY
1024,TNPH_DOL,NEUTRON POROSITY
1025,TNPH_LIM,NEUTRON POROSITY
1026,TPHC,NEUTRON POROSITY
1027,PEF,PHOTOELECTRIC EFFECT
1028,PEF_SLDT,PHOTOELECTRIC EFFECT
1029,PEF_SLDT_HR,PHOTOELECTRIC EFFECT
1030,PEF8,PHOTOELECTRIC EFFECT
1031,PEFA,PHOTOELECTRIC EFFECT
1032,PEFSA,PHOTOELECTRIC EFFECT
1033,PEFZ,PHOTOELECTRIC EFFECT
1034,SPEF,PHOTOELECTRIC EFFECT
1035,HPEF,PHOTOELECTRIC EFFECT
1036,HPEF,PHOTOELECTRIC EFFECT
1037,PEFI,PHOTOELECTRIC EFFECT
1038,PEFI,PHOTOELECTRIC EFFECT
1039,PEFL,PHOTOELECTRIC EFFECT
1040,PEFL,PHOTOELECTRIC EFFECT
1041,LPE,PHOTOELECTRIC EFFECT
1042,PEFS,PHOTOELECTRIC EFFECT
1043,A22H,DEEP RESISTIVITY
1044,A22H_UNC,DEEP RESISTIVITY
1045,A28H,DEEP RESISTIVITY
1046,A28H_UNC,DEEP RESISTIVITY
1047,A34H,DEEP RESISTIVITY
1048,A34H_UNC,DEEP RESISTIVITY
1049,AF60,DEEP RESISTIVITY
1050,AF90,DEEP RESISTIVITY
1051,AFRT,DEEP RESISTIVITY
1052,AHF60,DEEP RESISTIVITY
1053,AHF90,DEEP RESISTIVITY
1054,AHO60,DEEP RESISTIVITY
1055,AHO90,DEEP RESISTIVITY
1056,AHT60,DEEP RESISTIVITY
1057,AHT90,DEEP RESISTIVITY
1058,AHTRT,DEEP RESISTIVITY
1059,AO60,DEEP RESISTIVITY
1060,AO90,DEEP RESISTIVITY
1061,AORT,DEEP RESISTIVITY
1062,ASF60,DEEP RESISTIVITY
1063,ASF90,DEEP RESISTIVITY
1064,ASO60,DEEP RESISTIVITY
1065,ASO90,DEEP RESISTIVITY
1066,AST60,DEEP RESISTIVITY
1067,AST90,DEEP RESISTIVITY
1068,AT60,DEEP RESISTIVITY
1069,AT90,DEEP RESISTIVITY
1070,ATRT,DEEP RESISTIVITY
1071,DIPH,DEEP RESISTIVITY
1072,FE2,DEEP RESISTIVITY
1073,HLLD,DEEP RESISTIVITY
1074,HRLD,DEEP RESISTIVITY
1075,IDER,DEEP RESISTIVITY
1076,IDPH,DEEP RESISTIVITY
1077,IDVR,DEEP RESISTIVITY
1078,IL,DEEP RESISTIVITY
1079,ILD,DEEP RESISTIVITY
1080,ILD2,DEEP RESISTIVITY
1081,ILD4,DEEP RESISTIVITY
1082,LL,DEEP RESISTIVITY
1083,LL3,DEEP RESISTIVITY
1084,LL7,DEEP RESISTIVITY
1085,LLD,DEEP RESISTIVITY
1086,LN,DEEP RESISTIVITY
1087,P10H,DEEP RESISTIVITY
1088,P10H_UNC,DEEP RESISTIVITY
1089,P16H,DEEP RESISTIVITY
1090,P16H_UNC,DEEP RESISTIVITY
1091,P22H,DEEP RESISTIVITY
1092,P22H_UNC,DEEP RESISTIVITY
1093,P28H,DEEP RESISTIVITY
1094,P28H_UNC,DEEP RESISTIVITY
1095,P34H,DEEP RESISTIVITY
1096,P34H_UNC,DEEP RESISTIVITY
1097,RFOC,DEEP RESISTIVITY
1098,RILD,DEEP RESISTIVITY
1099,RLA1,DEEP RESISTIVITY
1100,RLA2,DEEP RESISTIVITY
1101,RLA3,DEEP RESISTIVITY
1102,RLA4,DEEP RESISTIVITY
1103,RLA5,DEEP RESISTIVITY
1104,RT,DEEP RESISTIVITY
1105,RT_HRLT,DEEP RESISTIVITY
1106,AIT6,DEEP RESISTIVITY
1107,LLG,DEEP RESISTIVITY
1108,RLL,DEEP RESISTIVITY
1109,AIT9,DEEP RESISTIVITY
1110,AFCO,DEEP RESISTIVITY
1111,AHFCO,DEEP RESISTIVITY
1112,AHFCO60,DEEP RESISTIVITY
1113,AHFCO90,DEEP RESISTIVITY
1114,AHOCO60,DEEP RESISTIVITY
1115,AHOCO90,DEEP RESISTIVITY
1116,AHTCO,DEEP RESISTIVITY
1117,AHTCO60,DEEP RESISTIVITY
1118,AHTCO90,DEEP RESISTIVITY
1119,AOCO,DEEP RESISTIVITY
1120,ASFCO60,DEEP RESISTIVITY
1121,ASFCO90,DEEP RESISTIVITY
1122,ASOCO90,DEEP RESISTIVITY
1123,ASTCO90,DEEP RESISTIVITY
1124,ATCO,DEEP RESISTIVITY
1125,CIDP,DEEP RESISTIVITY
1126,CILD,DEEP RESISTIVITY
1127,CLLD,DEEP RESISTIVITY
1128,COND,DEEP RESISTIVITY
1129,FC,DEEP RESISTIVITY
1130,P34H_COND,DEEP RESISTIVITY
1131,AF30,MEDIUM RESISTIVITY
1132,AHF30,MEDIUM RESISTIVITY
1133,AHO30,MEDIUM RESISTIVITY
1134,AHT30,MEDIUM RESISTIVITY
1135,AO30,MEDIUM RESISTIVITY
1136,ASF30,MEDIUM RESISTIVITY
1137,ASO30,MEDIUM RESISTIVITY
1138,AST30,MEDIUM RESISTIVITY
1139,AT30,MEDIUM RESISTIVITY
1140,HLLS,MEDIUM RESISTIVITY
1141,ILM,MEDIUM RESISTIVITY
1142,ILM2,MEDIUM RESISTIVITY
1143,ILM4,MEDIUM RESISTIVITY
1144,IMER,MEDIUM RESISTIVITY
1145,IMPH,MEDIUM RESISTIVITY
1146,IMVR,MEDIUM RESISTIVITY
1147,LLS,MEDIUM RESISTIVITY
1148,RILM,MEDIUM RESISTIVITY
1149,AE60,MEDIUM RESISTIVITY
1150,AIT3,MEDIUM RESISTIVITY
1151,CILM,MEDIUM RESISTIVITY
1152,AF10,SHALLOW RESISTIVITY
1153,AF20,SHALLOW RESISTIVITY
1154,AFRX,SHALLOW RESISTIVITY
1155,AHF10,SHALLOW RESISTIVITY
1156,AHF20,SHALLOW RESISTIVITY
1157,AHO10,SHALLOW RESISTIVITY
1158,AHO20,SHALLOW RESISTIVITY
1159,AHSFI,SHALLOW RESISTIVITY
1160,AHT10,SHALLOW RESISTIVITY
1161,AHT20,SHALLOW RESISTIVITY
1162,AHTRX,SHALLOW RESISTIVITY
1163,AO10,SHALLOW RESISTIVITY
1164,AO20,SHALLOW RESISTIVITY
1165,AORX,SHALLOW RESISTIVITY
1166,ASF10,SHALLOW RESISTIVITY
1167,ASF20,SHALLOW RESISTIVITY
1168,ASFI,SHALLOW RESISTIVITY
1169,ASN,SHALLOW RESISTIVITY
1170,ASO10,SHALLOW RESISTIVITY
1171,ASO20,SHALLOW RESISTIVITY
1172,AST10,SHALLOW RESISTIVITY
1173,AST20,SHALLOW RESISTIVITY
1174,AT10,SHALLOW RESISTIVITY
1175,AT20,SHALLOW RESISTIVITY
1176,ATRX,SHALLOW RESISTIVITY
1177,FE1,SHALLOW RESISTIVITY
1178,HRLS,SHALLOW RESISTIVITY
1179,LL8,SHALLOW RESISTIVITY
1180,MFR,SHALLOW RESISTIVITY
1181,MLL,SHALLOW RESISTIVITY
1182,MSFL,SHALLOW RESISTIVITY
1183,RSFL,SHALLOW RESISTIVITY
1184,RXO,SHALLOW RESISTIVITY
1185,RXO_HRLT,SHALLOW RESISTIVITY
1186,RXO8,SHALLOW RESISTIVITY
1187,RXOI,SHALLOW RESISTIVITY
1188,RXOZ,SHALLOW RESISTIVITY
1189,SFBC,SHALLOW RESISTIVITY
1190,SFL,SHALLOW RESISTIVITY
1191,SFLA,SHALLOW RESISTIVITY
1192,SFLR,SHALLOW RESISTIVITY
1193,SFLU,SHALLOW RESISTIVITY
1194,SN,SHALLOW RESISTIVITY
1195,AE20,SHALLOW RESISTIVITY
1196,AE30,SHALLOW RESISTIVITY
1197,CSFL,SHALLOW RESISTIVITY
1198,SP,SPONTANEOUS POTENTIAL
1199,SPC,SPONTANEOUS POTENTIAL
1200,SPD,SPONTANEOUS POTENTIAL
1201,SPDF,SPONTANEOUS POTENTIAL
1202,SPP,SPONTANEOUS POTENTIAL
1203,ACAL1,CALIPER
1204,ACAL2,CALIPER
1205,ACAL2_SL,CALIPER
1206,ACAL1_SL,CALIPER
1207,C1,CALIPER
1208,C1_13,CALIPER
1209,C1_24,CALIPER
1210,C1_NCMT,CALIPER
1211,C1_OBMT,CALIPER
1212,C1_OBMT_2,CALIPER
1213,C1_X,CALIPER
1214,C1_Y,CALIPER
1215,C1AZ,CALIPER
1216,C1RB,CALIPER
1217,C1S,CALIPER
1218,C2,CALIPER
1219,C2_13,CALIPER
1220,C2_24,CALIPER
1221,C2_NCMT,CALIPER
1222,C2_OBMT,CALIPER
1223,C2_OBMT_2,CALIPER
1224,C2_X,CALIPER
1225,C2_Y,CALIPER
1226,C2HP_13,CALIPER
1227,C2HP_24,CALIPER
1228,C2S,CALIPER
1229,CAL1,CALIPER
1230,CAL2,CALIPER
1231,CAL3,CALIPER
1232,CAL4,CALIPER
1233,CAL5,CALIPER
1234,CAL6,CALIPER
1235,CAL7,CALIPER
1236,CAL8,CALIPER
1237,CALE,CALIPER
1238,CALE_ARC,CALIPER
1239,CALI,CALIPER
1240,CALI_ADT,CALIPER
1241,CALI_BHC_INCP,CALIPER
1242,CALI_ES,CALIPER
1243,CALI_FSI,CALIPER
1244,CALI_FSI_SL,CALIPER
1245,CALI_QSCS,CALIPER
1246,CALI_SPCS,CALIPER
1247,CALI_TL,CALIPER
1248,CALI_US,CALIPER
1249,CALQ,CALIPER
1250,CALS,CALIPER
1251,CAR1,CALIPER
1252,CAR2,CALIPER
1253,CAR3,CALIPER
1254,CAR4,CALIPER
1255,DCAL,CALIPER
1256,DCAL_CDN,CALIPER
1257,DCAL_ADN_RT,CALIPER
1258,DCAL_CDN_RT,CALIPER
1259,DCAL_BHC_INCP,CALIPER
1260,HCAL,CALIPER
1261,HCAL_ADT,CALIPER
1262,HDEB,CALIPER
1263,HD_INVERT_FILTER,CALIPER
1264,HD_UNCERT,CALIPER
1265,HDRB,CALIPER
1266,HDRH,CALIPER
1267,HDAV,CALIPER
1268,HDC1,CALIPER
1269,HLCA,CALIPER
1270,LCAL,CALIPER
1271,MCAL,CALIPER
1272,C3_13,CALIPER
1273,C3_24,CALIPER
1274,C3HP_13,CALIPER
1275,C3HP_24,CALIPER
1276,DCAV,DENSITY CORRECTION
1277,DCAV_DH_ECO_RT,DENSITY CORRECTION
1278,DCAV_RT,DENSITY CORRECTION
1279,DCAV_WDP,DENSITY CORRECTION
